asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
ITS Asta Selezionata Yearling Trottatori 2025,1,LA CHANCE BI,DONATO HANOVER,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,3,LUSH D'ARC,VIVID WISE AS,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,4,LAW DI GIRIGFALCO,VARENNE,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,5,LEONE GLAMOUR,MAHARAJAH,45000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,6,LUNAPOP EFFE,BOCCADOR DE SIMM,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,7,LAMPARD GRIF,VICTOR GIO,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,8,LINUS BIG LAKSMY,THE BANK,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,9,LARRY WISE L,BIRD PARKER,10000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,10,LIBRARY AS,EL IDEAL,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,11,LOUISIANA BI,INTERNATIONAL MONI,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,12,LUSSO JET,NUNCIO,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,13,LIBRE DI POGGIO,BIRD PARKER,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,14,LUNARIO,EL IDEAL,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,15,LOVER WISE AS,NUNCIO,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,16,LATIN LOVER GAR,ALRAJAH ONE,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,17,LUCIO BLUE GRIF,NAD AL SHEBA,27000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,19,LOUISIANA KB TREB,MAHARAJAH,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
